iter	Logloss
404	0.5050172316
405	0.5049167883
406	0.504778099
407	0.5046378134
408	0.5045334502
409	0.5043909455
410	0.504262809
411	0.5041532956
412	0.5040166138
413	0.5038995945
414	0.5037344975
415	0.503646204
416	0.5035015987
417	0.5033975818
418	0.5032939438
419	0.5031988465
420	0.5030918341
421	0.5029475931
422	0.5028488163
423	0.502716002
424	0.5025952147
425	0.5024879319
426	0.5023775219
427	0.5021787146
428	0.5020457952
429	0.5019393725
430	0.5017420684
431	0.5016533662
432	0.5015787819
433	0.5014655728
434	0.5013509861
435	0.501245113
436	0.5011026904
437	0.5010204386
438	0.500861861
439	0.5007565692
440	0.5006487548
441	0.5005502707
442	0.5004366144
443	0.5003176477
444	0.5001578979
445	0.5000155293
446	0.4999085798
447	0.4997346061
448	0.4995529516
449	0.4994530257
450	0.4993242205
451	0.4991758432
452	0.4990910623
453	0.4989919147
454	0.4988402752
455	0.4987383246
456	0.4985995668
457	0.4984774024
458	0.4983858524
459	0.4982253031
460	0.4980976416
461	0.4980311267
462	0.4978936717
463	0.497802486
464	0.4976727051
465	0.4975405425
466	0.4974656154
467	0.4973582041
468	0.497240801
469	0.4970884851
470	0.4969683378
471	0.4968457094
472	0.4967096422
473	0.4965569102
474	0.4964523772
475	0.4963267918
476	0.4962414201
477	0.4961475096
478	0.4960654724
479	0.4959660381
480	0.4958508707
481	0.4957448121
482	0.4956271814
483	0.4955058486
484	0.4953636964
485	0.4952495713
486	0.4951539592
487	0.4950222845
488	0.494920541
489	0.4948229975
490	0.4947170975
491	0.4945878972
492	0.4945050575
493	0.4943705336
494	0.4942638404
495	0.4941612612
496	0.494003449
497	0.4938852908
498	0.4937886648
499	0.4937053679
500	0.4936344288
501	0.4935097423
502	0.493426402
503	0.4933278601
504	0.4931680526
505	0.4930677095
506	0.4929880995
507	0.4928595565
508	0.4926778532
509	0.4925641283
510	0.4924035235
511	0.4923020372
512	0.4922014679
513	0.4920745414
514	0.4919631
515	0.4918463938
516	0.4917142809
517	0.4916195338
518	0.491573253
519	0.4914660306
520	0.491371039
521	0.491231348
522	0.4911295168
523	0.4910163506
524	0.490907965
525	0.4907778896
526	0.4906276609
527	0.4905392152
528	0.4904141425
529	0.4903114214
530	0.4902107453
531	0.490086217
532	0.489973734
533	0.489832391
534	0.489733086
535	0.4896257174
536	0.4895439218
537	0.4894395014
538	0.4893753417
539	0.4892562043
540	0.4891614885
541	0.4890523096
542	0.4889406646
