iter	Logloss
0	0.6823932706
1	0.6728322383
2	0.6642769883
3	0.6566490624
4	0.6482861728
5	0.6419664647
6	0.6361528243
7	0.6297960946
8	0.6250418776
9	0.6209004296
10	0.6166118385
11	0.6127444357
12	0.6094283347
13	0.6061755165
14	0.6031917919
15	0.6003852953
16	0.5981548695
17	0.5957467256
18	0.593600486
19	0.5912456549
20	0.5895660587
21	0.5878623497
22	0.5863625736
23	0.5845266451
24	0.5833737818
25	0.5818817589
26	0.5803747697
27	0.5794495104
28	0.5784111181
29	0.5773293493
30	0.576299839
31	0.5751943583
32	0.5745052346
33	0.5736256221
34	0.5729046509
35	0.5722705112
36	0.5711547133
37	0.5705323901
38	0.5697576396
39	0.5692111429
40	0.5685849
41	0.56802257
42	0.5673168775
43	0.5667806877
44	0.56636477
45	0.5657572342
46	0.5650922034
47	0.5646619991
48	0.5641599033
49	0.563828459
50	0.5633599574
51	0.5630080342
52	0.5625826514
53	0.5622617286
54	0.5618705493
55	0.5613010892
56	0.5608209573
57	0.5604673219
58	0.5601453069
59	0.5598385959
60	0.5595070048
61	0.5591675135
62	0.5587802932
63	0.5583723451
64	0.5580361289
65	0.5577209897
66	0.5574078919
67	0.5571041579
68	0.5566481824
69	0.5563941902
70	0.5561676073
71	0.5557486476
72	0.5554478917
73	0.5551929872
74	0.5549666709
75	0.5547767961
76	0.5545321774
77	0.5542077842
78	0.5538105123
79	0.5535651326
80	0.5532919338
81	0.5529858587
82	0.5526011046
83	0.5523548547
84	0.5519864397
85	0.5518595331
86	0.5516778894
87	0.5514860229
88	0.551288532
89	0.5510013842
90	0.5508223637
91	0.5506940596
92	0.5505217595
93	0.5502576869
94	0.5500759242
95	0.5498772527
96	0.5497204605
97	0.5496035588
98	0.5493223682
99	0.5490908887
100	0.5487600469
101	0.5486073022
102	0.5484385677
103	0.5482424826
104	0.5479958863
105	0.5478236311
106	0.5475640366
107	0.547394416
108	0.5471972824
109	0.5470159485
110	0.5467382745
111	0.5464767434
112	0.5462705631
113	0.5461107982
114	0.5459849317
115	0.5459489042
116	0.545765177
117	0.5455503868
118	0.5453953908
119	0.545198053
120	0.5450613097
121	0.5447955651
122	0.5446511791
123	0.5445085713
124	0.5443912159
125	0.5442394037
126	0.5440794708
127	0.543894142
128	0.5437741075
129	0.5436048394
130	0.5435320741
131	0.5434015435
132	0.5432103326
133	0.5430305602
134	0.5427575284
135	0.5425716247
136	0.5424643603
137	0.5422475255
138	0.542145588
139	0.5420378718
140	0.5419183966
141	0.5417622433
142	0.5416069656
143	0.5414739959
144	0.5413804226
145	0.5412430281
146	0.5410461237
147	0.5408659406
148	0.5407109636
149	0.5405552661
150	0.5403694762
151	0.5401862592
152	0.5399576802
153	0.5397910145
154	0.5396206264
155	0.539485554
156	0.5392887284
157	0.5391422925
158	0.5390682827
159	0.5389356206
160	0.5388110933
161	0.5386459516
162	0.5385622536
163	0.5384508426
164	0.5383544941
165	0.5382687869
166	0.5380332727
167	0.5379384413
168	0.5378371544
169	0.5376375225
170	0.5374580693
171	0.537358868
172	0.5371773001
173	0.5370637705
174	0.536973555
175	0.5368511621
176	0.5366905863
177	0.536578326
178	0.5364214703
179	0.5362793789
180	0.5360884525
181	0.5359885192
182	0.5358740307
183	0.5357674801
184	0.5356878023
185	0.5354873131
186	0.5353537798
187	0.5351867878
188	0.5350319822
189	0.5348988056
190	0.5347503932
191	0.5345763186
192	0.5344756169
193	0.534281702
194	0.534164663
195	0.5340167888
196	0.5338118359
197	0.5336603154
198	0.5335885721
199	0.533457078
200	0.5332834118
201	0.5331658938
202	0.5330460834
203	0.5329323841
204	0.5328315975
205	0.5326713092
206	0.5325127054
207	0.5324271381
208	0.5323175231
209	0.5322216665
210	0.5321241522
211	0.5319816048
212	0.531844297
213	0.5317168491
214	0.5316205528
215	0.5314854203
216	0.5313712251
217	0.5312148957
218	0.5310477927
219	0.5309682213
220	0.5308503325
221	0.5307265936
222	0.5305962763
223	0.5304603938
224	0.5303477752
225	0.5302664006
226	0.5300945204
227	0.5299579522
228	0.5297894691
229	0.529668367
230	0.5295384636
231	0.5293694496
232	0.529279663
233	0.5291577374
234	0.5289953373
235	0.5288057015
236	0.5286375305
237	0.5285325987
238	0.5283578604
239	0.5281928074
240	0.5279432921
241	0.5276892461
242	0.527527234
243	0.5273892999
244	0.5271242106
245	0.5269902975
246	0.5268269453
247	0.5266966112
248	0.5265168397
249	0.5263174607
250	0.5262085332
251	0.5260770222
252	0.5259052014
253	0.5257721081
254	0.52561988
255	0.5254900583
256	0.5253238411
257	0.5251231535
258	0.524924049
259	0.5247894992
260	0.5247028957
261	0.5245646657
262	0.5244283335
263	0.5242571861
264	0.5241128902
265	0.5239648964
266	0.5238178381
267	0.5236945475
268	0.5235370449
269	0.5234214668
270	0.5232933444
271	0.5231282894
272	0.5229743276
273	0.5228225695
274	0.5226071336
275	0.5224913985
276	0.5223073427
277	0.5221778305
278	0.5219657312
279	0.5218421508
280	0.5217040448
281	0.5215573424
282	0.5213457357
283	0.5211697137
284	0.5210334859
285	0.5209122437
286	0.5207704126
287	0.5206372591
288	0.5205112891
289	0.5204079979
290	0.5202672271
291	0.5201108612
292	0.519950217
293	0.519821581
294	0.5196698983
295	0.5195463959
296	0.5193696652
297	0.5191827568
298	0.5189960027
299	0.5188625635
300	0.5187393415
301	0.5185490563
302	0.5183956131
303	0.5183121102
304	0.5181358353
305	0.5180096809
306	0.5179110586
307	0.5178017669
308	0.5176287369
309	0.5174873912
310	0.5173770896
311	0.5172114065
312	0.5170459158
313	0.5169025146
314	0.5167496252
315	0.5165710384
316	0.5164537102
317	0.5162920381
318	0.516173223
319	0.5159631998
320	0.5158364538
321	0.51573274
322	0.5156615495
323	0.5154870007
324	0.5153435144
325	0.5152326089
326	0.5151078914
327	0.5149422536
328	0.5147932706
329	0.5145886902
330	0.5144648486
331	0.5143486114
332	0.5142201661
333	0.5140650037
334	0.5138936271
335	0.5137862821
336	0.5136130191
337	0.5135007345
338	0.5133604058
339	0.5132312837
340	0.5131069032
341	0.512996661
342	0.5128638499
343	0.5127580376
344	0.5126073268
345	0.5124696604
346	0.5123304146
347	0.5122078195
348	0.5120698554
349	0.5119498282
350	0.5118173446
351	0.5116913089
352	0.5115753641
353	0.5114033773
354	0.5112267856
355	0.5111172149
356	0.5109508074
357	0.5107707208
358	0.5106518791
359	0.5105207424
360	0.5104119967
361	0.5102975189
362	0.510125651
363	0.5099489812
364	0.5098133554
365	0.5097042971
366	0.5095848281
367	0.5094539193
368	0.5093012217
369	0.5092094417
370	0.5091376083
371	0.5090167568
372	0.508926289
373	0.5087768716
374	0.5086675457
375	0.5085671931
376	0.5084319532
377	0.5083094347
378	0.508211049
379	0.5081030172
380	0.5080145514
381	0.5079150519
382	0.5077691077
383	0.5076730151
384	0.5075628252
385	0.5074336061
386	0.5073165123
387	0.5072252463
388	0.5070499861
389	0.5069001721
390	0.5067962552
391	0.5066617919
392	0.5065348503
393	0.5064415921
394	0.5063217031
395	0.5061653952
396	0.5060652048
397	0.5059713576
398	0.5058180069
399	0.5056654949
400	0.505515018
401	0.5053929328
402	0.5052578352
403	0.5051162596
